Category,List,List Item,ABFM,AHA,BD - COVID-specific,CDC WONDER,CMS,HealthVerity,HCUP,MarketScan and Treatment Pathways,NEMSIS,NNDSS Synthetic Data,IQVIA SMART,IQVIA HDE Pharmetrics (former E360),IQVIA HDE AEMR (former E360),PCORnet,Premier PINC AI Healthcare,PointClickCare,Quest Laboratory,RED BOOK,Truveta,Count
Filtered Attributes,Data Asset Type,* Pre-adjudicated,,,,,,X,,,,,,,,,X,,,,X,3
Filtered Attributes,Data Asset Type,* Adjudicated,,,,,X,X,X,X,,,,X,,,X,,,,X,7
Filtered Attributes,Data Asset Type,* Closed Payer Systems,,,,,X,X,,X,,,,X,,,,,,,,4
Filtered Attributes,Data Asset Type,Electronic Health Records,X,,X,,,,,,,,,,X,X,X,X,,,,5
Filtered Attributes,Data Asset Type,* Structured,X,,X,,,X,,,,,,,X,X,X,X,,,X,7
Filtered Attributes,Data Asset Type,* Unstructured,"X ",,,,,,,,,,,,,,,X,,,,1
Filtered Attributes,Data Asset Type,Hospital Discharge,,,X,,X,X,X,,,,,,,,X,,,,,5
Filtered Attributes,Data Asset Type,Laboratory,,,X,,X,X,,X,,,,,,X,X,X,X,,X,9
Filtered Attributes,Data Asset Type,Pharmacy,,,,,,,,,,,X,,,,,,,X,,2
Filtered Attributes,Data Asset Type,Mobility,,,,,,,,,,,,,,,,,,,,0
Filtered Attributes,Data Asset Type,Survey,,X,,,X,,,X,,,,,,,,,,,,3
Filtered Attributes,Data Asset Type,EMS activation,,,,,,,,,X,,,,,,,,,,,1
Filtered Attributes,Data Asset Type,Vital Statistics,,,X,,X,X,X,,,,,,,X,X,X,,,X,8
Filtered Attributes,Data Asset Type,* Deaths**,,,X,X,X,X,X,,,,,,,X,X,X,,,X,9
Filtered Attributes,Data Asset Type,* Births,,,,X,,X,,,,,,,,,X,,,,X,4
Filtered Attributes,Data Fields Available,Diagnosis Codes,X,,,,X,X,X,X,X,,,X,X,X,X,X,,,X,11
Filtered Attributes,Data Fields Available,Laboratory Tests,X,,X,,X,X,,X,,,,,X,X,X,X,X,,X,10
Filtered Attributes,Data Fields Available,* Orders,"X ",,,,X,X,,x,,,,,X,X,,X,X,,X,8
Filtered Attributes,Data Fields Available,* Results,X,,X,,X,X,,X,,,,,X,X,X,X,X,,X,10
Filtered Attributes,Data Fields Available,Medications,X,,,,X,X,,X,X,,X,X,X,X,X,X,,,X,11
Filtered Attributes,Data Fields Available,* Orders,X,,,,X,,,X,,,,X,X,X,,X,,,X,7
Filtered Attributes,Data Fields Available,* Fills,X,,,,,X,,,,,,X,X,,X,X,,,X,6
Filtered Attributes,Data Fields Available,* Prescription,X,,,,X,X,,X,,,X,X,X,X,X,X,,,X,10
Filtered Attributes,Data Fields Available,* Over the Counter,,,,,,,,,,,,,X,,,,,,,1
Filtered Attributes,Data Fields Available,Procedures,X,,,,X,X,X,X,X,,,X,X,X,X,X,,,X,11
Filtered Attributes,Data Fields Available,Vaccinations,X,,,X,X,X,,X,,,X,X,X,X,X,X,,,X,11
Filtered Attributes,Data Fields Available,Healthcare Costs,,X,,,X,X,X,X,"  ",,X,X,,,X,,,,,9
Filtered Attributes,Data Fields Available,* Charges,,X,,,X,X,X,X,,,,X,,,X,,,,X,8
Filtered Attributes,Data Fields Available,"* Costs ",,X,,,X,X,,X,,,X,X,,,X,,,X,X,9
Filtered Attributes,Data Fields Available,* Patient Costs,,X,,,X,X,,X,,,X,X,,,X,,,,X,8
Filtered Attributes,Data Fields Available,Healthcare Capacity,,X,,,X,,X,,,,,,,,,X,,,,4
Filtered Attributes,Population Characteristics,Youth (0-17),X,,X,X,X,X,X,X,X,,X,X,X,X,X,,X,,X,14
Filtered Attributes,Population Characteristics,Adults (18-64),X,,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,,X,15
Filtered Attributes,Population Characteristics,Older Adults (65+),X,,X,X,X,X,X,X,X,,X,,,X,X,X,X,,X,13
Filtered Attributes,Population Characteristics,Mother-Infant (linked)***,,,,X,,X,,,,,,,,X,,,,,X,4
Filtered Attributes,Population Characteristics,Commercially Insured,X,X,,X,,X,X,X,X,,"X ",X,X,X,X,,,,X,12
Filtered Attributes,Population Characteristics,Publicly Insured," X ",X,,X,X,X,X,X,X,,"X ",,,X,X,,,,X,11
Filtered Attributes,Population Characteristics,Uninsured,,X,,X,,,X,,X,,"X ",,,X,X,,,,X,8
Filtered Attributes,Population Characteristics,Race/ethnicity Available,X,,,X,X,X,X,,X,,,,X,X,X,X,,,X,10
Filtered Attributes,Population Characteristics,Subnational Geographic Data,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,,,15
Filtered Attributes,Population Characteristics,* Census Region,X,X,X,X,X,X,X,X,X,,"X ",X,X,X,X,X,X,,X,16
Filtered Attributes,Population Characteristics,* Census Division,X,X,X,X,X,X,X,X,X,,"X ",X,X,X,X,X,X,,X,16
Filtered Attributes,Population Characteristics,* State,X,X,X,X,X,X,X,X,,,X,X,X,X,,X,X,,X,14
Filtered Attributes,Population Characteristics,* County,X,X,,X,X,,X,,,,"X ",,,,,,,,,5
Filtered Attributes,Population Characteristics,* ZIP Code (3-digit),X,X,,,X,X,,,,,,X,X,,X,X,X,,X,9
Filtered Attributes,Population Characteristics,* ZIP Code (5-digit),X,X,,,X,,,,,,,,,,,X,X,,,4
Filtered Attributes,Population Characteristics,* City,,X,,X,X,,,X,,,,,,,,X,,,,5
Filtered Attributes,"Population Characteristics ",* Census Tract,,,,,,,,,,,,,,,,,,,,0
Filtered Attributes,"Population Characteristics ",*Census Block,,,,,,,,,,,,,,,,,,,,0
Filtered Attributes,Health Setting,Outpatient,"X ",X,,X,X,X,X,X,,,"X ",X,X,X,X,,,,X,12
Filtered Attributes,Health Setting,Emergency Medical Services,,X,,X,X,X,X,X,X,,,X,,,X,,,,,9
Filtered Attributes,Health Setting,Emergency Department,,X,,X,X,X,X,X,,,,X,,X,X,,,,X,10
Filtered Attributes,Health Setting,Hospital,,X,X,X,X,X,X,X,,,,X,,X,X,,,,X,11
Filtered Attributes,Health Setting,Long-term Care,,X,,X,X,X,X,X,,,X,X,,,X,X,,,X,11
Filtered Attributes,Health Setting,Urgent Care,,X,,,X,X,,X,,,,,,,,,,,X,5
Filtered Attributes,Health Setting,Telehealth,X,X,,,X,X,,X,,,,X,X,X,,,,,X,8
Filtered Attributes,Health Setting,Community,,X,,,,,,,,,,,,,,,,,,1
Filtered Attributes,Topic,Any Topic,X,X,X,X,,X,X,,X,,X,X,X,,X,X,X,,X,13
Filtered Attributes,Topic,Chronic Disease,X,X,,X,X,X,X,X,X,,X,X,X,X,X,X,,,X,14
Filtered Attributes,Topic,Injury,X,X,,X,X,X,X,X,X,,X,X,X,X,X,X,,,X,14
Filtered Attributes,Topic,Birth Defects/Disabilities,X,X,,X,X,X,X,X,,,,X,X,X,X,X,,,X,12
Filtered Attributes,Topic,Reproductive/Maternal Health,"X ",X,,X,X,X,X,X,,,X,X,X,X,X,,,,X,12
Filtered Attributes,Topic,Infectious Disease,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,,X,16
Filtered Attributes,Topic,COVID-19-specific,,,X,X,X,X,,,,,,,,X,X,,X,,,7
Filtered Attributes,Topic,Social and Behavioral Data,X,X,,X,X,,X,X,X,,,,X,X,,X,,,X,10
Additional Attributes,Contract Status,Contract Status,Ended 8/23/2024,Active,Ended 9/10/2023,,Active,Ended 9/22/2023,Active,Active,Active,,Active,Active,Active,Active,Active,Ended 8/30/2023,Pending,Active,Active,
Additional Attributes,Current Access Level,Publicly available,,,,X,,,,,,,,,,,,,,,,
Additional Attributes,Current Access Level,Agency-wide,,X,,," ",,X," ",X,,,,," ",X,X," ",X,X,11
Additional Attributes,Current Access Level,Select programs/seat holders,,,,,X,,,X,,,X,X,X,X,,,X,,,
Additional Attributes,Current Access Level,Access Set to End,X,,,,,,,,,,,,,,,,,,,
Additional Attributes,Current Access Level,Access Ended,,,X,,,X,,,,,,,,,,,,,,
Additional Attributes,Access End Date,Date,Agency-wide; Access ends 8/23/2025,,Access ended 9/10/2023,,,Access ended 9/22/2024,,,,,,,,,,,,,,
Additional Attributes,Years Covered,Years,2018-2024,"1993-2023
(varies by dataset)",2019-2023,1968-2022,1999-2023 (varies by dataset),2018-2023,"1995-2021
(varies by dataset)",2003-current (varies by dataset),2010 - 2022,,2018-current (varies by data task),"2016-current ",2006-current,2016-current,2016-current,2017-2023,2018-current (varies by dataset),2017-current,2016-current,17
Additional Attributes,Annual Sample Size,Unique Pts,1.6 M,,,,100+ M,100+ M,30+M,20 M,50+M,,50+M,42 M,16 M,20 M,50+ M,1.5 M,,,36 M,12
Additional Attributes,Total Sample Size,Unique Pts,8.2 M,,,,100+ M,100+ M,100+ M,100+ M,100+ M,,100+ M,100+ M,82+ M,100+ M,100+ M,14 M,,,95+ M,
Additional Attributes,Update Cadence,Varies by dataset,,,,X,X,,,X,,,X,,,,,,X,,,5
Additional Attributes,Update Cadence,Daily,,,,,,,,,,,,,,,,,,,X,1
Additional Attributes,Update Cadence,<1 month,,,,X,,,,,,,"X ",,,,,,X,,,3
Additional Attributes,Update Cadence,1-<3 months,"X ",,,,X,,,X,,,"X ",,X,,X,,,,X,6
Additional Attributes,Update Cadence,3-<12 months,,,,,X,,,X,,,,X,X,X,,,,,,5
Additional Attributes,Update Cadence,1-<2 years,,X,,X,X,,X,X,X,,,,,,,,,,,6
Additional Attributes,Update Cadence,2+ years,,,,X,X,,,,,,,,,,,,,,,2
Additional Attributes,Update Cadence,No longer updated,,,X,,,X,,,,,,,,,,X,,,,3
Additional Attributes,Data Lag,Varies by dataset,,,,X,X,X,,X,,,X,X,,,,,X,,,7
Additional Attributes,Data Lag,<1 month,,,X,X,,,,,,,X,,,,,,X,,X,5
Additional Attributes,Data Lag,1-<3 months,"X ",,,,X,X,,,,,X,X,,X,,,,,,
Additional Attributes,Data Lag,3-<12 months,,,,,,X,,X,,,,X,,,,,,,,
Additional Attributes,Data Lag,1-<2 years,,X,,X,X,,X,X,X,,,,,,,,,X,,7
Additional Attributes,Data Lag,2+ years,,,,X,X,,,,,,,,,,,,,,,2
Additional Attributes,Data Size,<100 GB,,X,,,,,,,,,,,,X,,,,X,,3
Additional Attributes,Data Size,100-<500 GB,,,X,,,,,,,,,,,,,X,,,,2
Additional Attributes,Data Size,500 GB - <1 TB,,,,,,,X,X,X,,,,,,,,X,,,4
Additional Attributes,Data Size,1+ TB,"X ",,,X,X,X,,,,,,X,X,,X,,,,X,7
Additional Attributes,Data Structure," Line-level",X,X,X,,X,X,X,X,,,"X ",X,X,X,X,X,X,,X,14
Additional Attributes,Data Structure,Aggregate,,X,X,,,,,,X,,X,,,X,,,,,,5
Additional Attributes,Data Structure,Varies by dataset,,,,X,,,,,,,"X ",,,X,,,,,,3
Additional Attributes,Data Platform,On-premises,,X,X,,,,X,X,X,,,,,X,X,,X,X,,9
Additional Attributes,Data Platform,CDC cloud,"X ",X,,X,,X,X,,X,,,,,,X,X,X,,X,9
Additional Attributes,Data Platform,Vendor platform,,,X,,X,,,X,,,X,X,X,X,,,,,X,8
Additional Attributes,Availability within CDC,Publicly available,,,,X,,,,,X,,,,,,,,,,,2
Additional Attributes,Availability within CDC,Agency-wide access,X,X,X,,,X,X,,X,,,,,X,X,X,,X,X,10
Additional Attributes,Availability within CDC,Specific programs/seat holders,,,,,X,,,X,,,"X ",X,X,,,,X,,,6
Additional Attributes,Cost,Program,"X ",,,,X,,,X,,,"X ",X,X,,X,,X,,,7
Additional Attributes,Cost,CDC Data Hub,,X,,,,,X,,X,,,,,,X,,,,,4
Additional Attributes,Cost,Agency,"X ",,X,,,X,,,X,,,,,X,X,X,,,X,7
,Availability Dates,Ongoing,X,X,,,X,,X,X,X,,"X ",X,X,X,X,,X,X,X,
,Initial Acquision (CORs) (year),Initial Acquision (CORs) (year),2021,2009,2020,,2006,2021,2016,2009,2018,,2019,2020,2020,2020,2020,2021,2019,2018,2024,
,Data Date (year),Data Start,2018,1993,2019,,1999,2018,1995,2003,2010,,2018,2016,2006,2016,2016,2017,2018,2017,2016,
,Data End Date (year),Data End Date (year),2024,2023,2023,,2023,2023,2021,Current,2022,,Current,Current,Current,Current,Current,2023,Current,Current,Current,
,Contract End Date (month/year),Contract End Date (month/year),Contract Ending 8/23/2024,Current,9/10/2023,,Current,9/22/2023,Current,Current,Current,,Current,Current,Current,?,Current,8/30/2023,Current,Current,Current,
,"Data Access End Date ","Data Access End Date ",8/23/2025,NA,9/10/2023,,NA,9/22/2024,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,Rolling window for years covered,Rolling window for years covered,No,No,No,,No,No,No,20 years,No,,6 years,8 years,No,NA,No,No,No,No,No,
,Ongoing,Ongoing,"X ",,,,X,,X,X,,,"X ",X,X,X,,,,,,7
,Access ended (date),Access ended (date),,,,,,X,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,0
,"Death** indicates specific data varibles are available to determine if the person/record data has expired . For example ""date_of_death"" as a variable","Death** indicates specific data varibles are available to determine if the person/record data has expired . For example ""date_of_death"" as a variable",,,,,,,,,,,,,,,,,,,,
,Mother/Infant*** indicates a varible is present that links a child with a mother,Mother/Infant*** indicates a varible is present that links a child with a mother,,,,,,,,,,,,,,,,,,,,
